"key","format","code"
"BACK","HEX","4;0xBE110;20;0"
"MUTE","HEX","4;0x140C;15;0"
"VOLUME_UP","HEX","4;0x240C;15;0"
"VOLUME_DOWN","HEX","4;0x640C;15;0"
"HOME","HEX","4;0x650C;15;0"
"NEXT","HEX","4;0x8C110;20;0"
"PREVIOUS","HEX","4;0xC110;20;0"
"PLAY_PAUSE","HEX","4;0x5C110;20;0"
"CURSOR_UP","HEX","4;0xF0D;15;0"
"CURSOR_DOWN","HEX","4;0x4F0D;15;0"
"CURSOR_LEFT","HEX","4;0x2F0D;15;0"
"CURSOR_RIGHT","HEX","4;0x6F0D;15;0"
"CURSOR_ENTER","HEX","4;0x180C;15;0"
"INPUT_BD_DVD","HEX","4;0x68114;20;0"
"INPUT_GAME","HEX","4;0x1F0C;15;0"
"INPUT_SACD_CD","HEX","4;0x520C;15;0"
"INPUT_SAT_CATV","HEX","4;0x600D;15;0"
"STOP","HEX","4;0x1C110;20;0"
"POWER","HEX","4;0x540C;15;0"
